Canonical Form,Term,Type
water,water,Object
glass,glass,Object
glass,glasses,Object
meal,meal,Object
utensils,utensils,Object
toothbrush,toothbrush,Object
toothpaste,toothpaste,Object
hairbrush,hairbrush,Object
air,hair,Object
air,chair,Object
air,air,Object
item,item,Object
item,items,Object
ground,ground,Object
object,object,Object
object,subject,Object
ball,ball,Object
floor,floor,Object
hand,hands,Object
hand,hand,Object
audience,audience,Object
book,book,Object
article,article,Object
pen,pen,Object
paper,paper,Object
jacket,jacket,Object
shoe,shoe,Object
shoe,shoes,Object
hat,hat,Object
head,head,Object
cap,cap,Object
friend,friend,Object
joke,joke,Object
goal,goal,Object
pocket,pocket,Object
surface,surface,Object
phone,phone,Object
ear,ear,Object
table,tablet,Object
table,table,Object
keyboard,keyboard,Object
fingers,finger,Object
fingers,fingers,Object
object being pointed at,object being pointed at,Object
smartphone,smartphone,Object
camera,camera,Object
watch,watch,Object
towel,towel,Object
palms,palms,Object
palms,palm,Object
prayer position,prayer position,Object
tissue,tissue,Object
balance,balance,Object
pain reliever,pain reliever,Object
dark room,dark room,Object
chest,chest,Object
heart,heart,Object
back,back,Object
spine,spine,Object
neck,neck,Object
food,food,Object
liquid,liquid,Object
fan,fan,Object
fist,fist,Object
target,target,Object
door,door,Object
box,box,Object
arms,arms,Object
arms,arm,Object
person,person,Object
gift,gift,Object
recipient,recipient,Object
thumb,thumb,Object
gesture,gesture,Object
path,path,Object
destination,destination,Object
space,space,Object
distance,distance,Object
headphone,headphone,Object
basketball,basketball,Object
hoop,hoop,Object
tennis bat,tennis bat,Object
tennis bat,tennis ball,Object
table tennis ball,table tennis ball,Object
sound,sound,Object
environment,environment,Object
staple,staple,Object
money,money,Object
nail clipper,nail clipper,Object
nails,nails,Object
scissors,scissors,Object
bottle,bottle,Object
scent,scent,Object
weight,weight,Object
coin,coin,Object
magic cube,magic cube,Object
cream,cream,Object
face,face,Object
bag,bag,Object
lid,lid,Object
furniture,furniture,Object
opponent,opponent,Object
terms,terms,Object
legs,legs,Object
legs,leg,Object
toes,toes,Object
foot,foot,Object
body,body,Object
muscles,muscles,Object
bat,bat,Object
knife,knife,Object
stuff,stuff,Object
gun,gun,Object
drink,drink,Object
leader,leader,Object
voice,voice,Object
things,things,Object
rock,rock,Object
pour,pour,Subaction
lift,lift,Subaction
sip,sip,Subaction
prepare,prepare,Subaction
chew,chew,Subaction
swallow,swallow,Subaction
apply,apply,Subaction
brush,brush,Subaction
rinse,rinse,Subaction
hold,hold,Subaction
style,style,Subaction
let go,let go,Subaction
fall,fall,Subaction
bend,bend,Subaction
grasp,grasp,Subaction
aim,aim,Subaction
release,release,Subaction
approach,approach,Subaction
lower,lower,Subaction
rest,rest,Subaction
push,push,Subaction
raise,raise,Subaction
bring together,bring together,Subaction
create sound,create sound,Subaction
scan,scan,Subaction
comprehend,comprehend,Subaction
analyze,analyze,Subaction
write,write,Subaction
revise,revise,Subaction
grab,grab,Subaction
rip,rip,Subaction
rip,grip,Subaction
discard,discard,Subaction
pick,pick,Subaction
open,open,Subaction
wear,wear,Subaction
move,remove,Subaction
move,move,Subaction
place,place,Subaction
unfasten,unfasten,Subaction
position,position,Subaction
adjust,adjust,Subaction
tell,tell,Subaction
smile,smile,Subaction
listen,listen,Subaction
wave,wave,Subaction
swing,swing,Subaction
strike,strike,Subaction
reach,reach,Subaction
reach,react,Subaction
retrieve,retrieve,Subaction
jump,jump,Subaction
land,land,Subaction
propel,propel,Subaction
elevate,elevate,Subaction
dial,dial,Subaction
talk,talk,Subaction
swipe,swipe,Subaction
swipe,wipe,Subaction
tap,tap,Subaction
scroll,scroll,Subaction
press,press,Subaction
extend,extend,Subaction
indicate,indicate,Subaction
capture,capture,Subaction
look,look,Subaction
interpret,interpret,Subaction
nod,nod,Subaction
bow,bow,Subaction
shake,shake,Subaction
wet,wet,Subaction
bring,bring,Subaction
cross,cross,Subaction
inhale,inhale,Subaction
